Latitude, Longitude, Date and Time, Heading (Returns heading in degrees * 10^-5), Ground Speed (mm/s), and Altitude (Returns the current altitude in mm above mean sea level).
42.3500370,-71.1081721,2023-2-27 11:50:5,9651984,1412,3269
42.3500318,-71.1081159,2023-2-27 11:50:8,9950438,1376,3574
42.3500196,-71.1080802,2023-2-27 11:50:10,11133142,1708,3269
42.3500189,-71.1080118,2023-2-27 11:50:13,9329730,1771,4124
42.3500231,-71.1079727,2023-2-27 11:50:15,8190465,1545,4648
42.3500207,-71.1079185,2023-2-27 11:50:18,9243872,1493,4419
42.3500120,-71.1078674,2023-2-27 11:50:21,11024682,1148,3716
42.3500095,-71.1078380,2023-2-27 11:50:23,9481102,1322,2929
42.3500060,-71.1077983,2023-2-27 11:50:25,10007928,1544,3057
42.3499976,-71.1077395,2023-2-27 11:50:28,10043998,1606,3673
42.3499900,-71.1077023,2023-2-27 11:50:30,10429140,1546,3523
42.3499777,-71.1076434,2023-2-27 11:50:33,10841548,1906,3293
42.3499727,-71.1075984,2023-2-27 11:50:35,9931220,1939,3366
42.3499712,-71.1075330,2023-2-27 11:50:38,9400178,1739,3619
42.3499692,-71.1074924,2023-2-27 11:50:40,9722210,1613,3816
42.3499637,-71.1074362,2023-2-27 11:50:43,10072500,1616,3712
42.3499631,-71.1073963,2023-2-27 11:50:45,9345562,1557,3905
42.3499583,-71.1073385,2023-2-27 11:50:48,10084896,1530,3993
42.3499520,-71.1073021,2023-2-27 11:50:50,10273748,1144,4227
42.3499404,-71.1072573,2023-2-27 11:50:53,11139508,1312,3707
42.3499352,-71.1072205,2023-2-27 11:50:55,10026086,1497,3390
42.3499310,-71.1071824,2023-2-27 11:50:58,12214362,1411,2414
42.3499217,-71.1071460,2023-2-27 11:51:0,11322766,1456,2076
42.3499190,-71.1070992,2023-2-27 11:51:3,10359608,1610,1182
42.3499211,-71.1070644,2023-2-27 11:51:5,8844928,1434,1195
42.3499216,-71.1070054,2023-2-27 11:51:8,8514988,1471,1106
42.3499175,-71.1069708,2023-2-27 11:51:10,10015586,1132,961
42.3499081,-71.1069118,2023-2-27 11:51:13,8821020,1862,1266
42.3499095,-71.1068689,2023-2-27 11:51:15,8757232,1692,1434
42.3499000,-71.1068182,2023-2-27 11:51:18,9678848,1364,1432
42.3498892,-71.1067545,2023-2-27 11:51:21,10478136,1837,1320
42.3498790,-71.1067191,2023-2-27 11:51:23,11065576,1419,685
42.3498562,-71.1066735,2023-2-27 11:51:26,12080670,1478,492
42.3498291,-71.1066539,2023-2-27 11:51:28,14877858,1811,25
42.3498039,-71.1066525,2023-2-27 11:51:30,17904592,1371,-3
42.3497673,-71.1066470,2023-2-27 11:51:33,18183528,1232,-86
42.3497318,-71.1066574,2023-2-27 11:51:36,18914852,1175,-751
42.3497045,-71.1066631,2023-2-27 11:51:38,19155332,1210,-1440
